Mese,Cinema,Serie televisiva
2004-01,43,3
2004-02,37,3
2004-03,34,3
2004-04,33,3
2004-05,35,3
2004-06,39,3
2004-07,41,3
2004-08,36,3
2004-09,30,3
2004-10,34,3
2004-11,36,3
2004-12,38,3
2005-01,39,3
2005-02,34,3
2005-03,31,3
2005-04,31,3
2005-05,35,3
2005-06,33,3
2005-07,39,3
2005-08,34,3
2005-09,30,4
2005-10,33,4
2005-11,41,4
2005-12,44,4
2006-01,42,4
2006-02,37,5
2006-03,33,5
2006-04,33,5
2006-05,33,4
2006-06,34,4
2006-07,39,4
2006-08,36,5
2006-09,32,5
2006-10,34,6
2006-11,40,6
2006-12,41,7
2007-01,40,7
2007-02,38,8
2007-03,35,8
2007-04,33,8
2007-05,34,10
2007-06,34,10
2007-07,45,10
2007-08,36,10
2007-09,29,13
2007-10,31,14
2007-11,34,13
2007-12,38,14
2008-01,37,14
2008-02,34,15
2008-03,33,18
2008-04,26,18
2008-05,30,22
2008-06,33,21
2008-07,39,19
2008-08,37,22
2008-09,26,24
2008-10,29,24
2008-11,35,26
2008-12,33,27
2009-01,38,25
2009-02,34,27
2009-03,28,26
2009-04,30,31
2009-05,29,31
2009-06,33,29
2009-07,40,26
2009-08,34,28
2009-09,28,33
2009-10,33,36
2009-11,40,34
2009-12,41,36
2010-01,42,35
2010-02,37,37
2010-03,31,37
2010-04,30,37
2010-05,31,42
2010-06,33,38
2010-07,41,31
2010-08,34,40
2010-09,28,40
2010-10,33,41
2010-11,34,38
2010-12,33,40
2011-01,35,43
2011-02,32,40
2011-03,27,44
2011-04,29,39
2011-05,31,37
2011-06,32,36
2011-07,40,35
2011-08,36,43
2011-09,28,39
2011-10,30,43
2011-11,34,42
2011-12,33,44
2012-01,34,45
2012-02,32,42
2012-03,28,42
2012-04,31,41
2012-05,28,38
2012-06,33,37
2012-07,40,39
2012-08,30,38
2012-09,27,37
2012-10,29,38
2012-11,34,40
2012-12,34,40
2013-01,33,41
2013-02,29,43
2013-03,28,43
2013-04,27,40
2013-05,31,38
2013-06,33,38
2013-07,36,44
2013-08,34,40
2013-09,25,38
2013-10,26,41
2013-11,29,41
2013-12,31,44
2014-01,32,46
2014-02,29,47
2014-03,28,44
2014-04,27,45
2014-05,28,42
2014-06,30,43
2014-07,32,56
2014-08,31,45
2014-09,23,42
2014-10,29,41
2014-11,30,40
2014-12,33,42
2015-01,35,43
2015-02,34,44
2015-03,27,42
2015-04,31,42
2015-05,30,42
2015-06,35,48
2015-07,37,47
2015-08,33,40
2015-09,28,41
2015-10,32,39
2015-11,33,40
2015-12,38,38
2016-01,34,48
2016-02,33,48
2016-03,30,43
2016-04,31,45
2016-05,28,43
2016-06,35,54
2016-07,38,48
2016-08,32,44
2016-09,29,43
2016-10,29,39
2016-11,66,16
2016-12,78,12
2017-01,89,9
2017-02,89,11
2017-03,81,11
2017-04,81,13
2017-05,73,9
2017-06,79,12
2017-07,96,16
2017-08,79,17
2017-09,75,16
2017-10,83,15
2017-11,86,13
2017-12,96,12
2018-01,93,15
2018-02,100,16
2018-03,93,19
2018-04,92,18
2018-05,85,17
2018-06,89,16
2018-07,88,18
2018-08,66,19
2018-09,58,18
2018-10,56,18
2018-11,62,19
2018-12,65,19
2019-01,67,21
2019-02,57,18
2019-03,59,22
2019-04,60,35
2019-05,47,52
2019-06,59,45
2019-07,62,39
2019-08,49,38
2019-09,41,38
2019-10,48,36
2019-11,48,36
2019-12,48,16
2020-01,47,55
2020-02,39,57
2020-03,18,69
2020-04,5,85
2020-05,7,79
2020-06,10,55
2020-07,12,53
2020-08,12,48
2020-09,12,50
2020-10,13,56
2020-11,10,56
2020-12,11,56
2021-01,12,67
2021-02,11,64
2021-03,14,56
2021-04,15,75
2021-05,15,66
2021-06,21,55
2021-07,25,56
2021-08,23,55
2021-09,18,58
2021-10,23,60
2021-11,24,56
2021-12,34,57
2022-01,24,64
2022-02,23,61
2022-03,25,56
2022-04,26,73
2022-05,27,53
2022-06,34,57
2022-07,36,58
2022-08,30,58
2022-09,28,58
2022-10,36,60
2022-11,28,56
2022-12,32,52
2023-01,37,63
2023-02,30,61
2023-03,20,68
2023-04,24,76
2023-05,24,61
2023-06,43,60
2023-07,69,60
2023-08,57,58
2023-09,44,60
2023-10,48,58
2023-11,40,59
2023-12,46,63
2024-01,41,75
2024-02,40,64
2024-03,36,77
2024-04,34,64
2024-05,33,59
