rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Barbie,"$1,445,636,401","$636,236,401",44%,"$809,400,000",56%
2,The Super Mario Bros. Movie,"$1,361,945,211","$574,934,330",42.2%,"$787,010,881",57.8%
3,Oppenheimer,"$952,648,405","$326,714,405",34.3%,"$625,934,000",65.7%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,875,015","$146,126,015",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,615,475","$381,311,319",55.2%,"$309,304,156",44.8%
7,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%
9,Wonka,"$511,527,738","$180,727,738",35.3%,"$330,800,000",64.7%
10,Elemental,"$496,444,308","$154,426,697",31.1%,"$342,017,611",68.9%
11,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
12,John Wick: Chapter 4,"$440,146,694","$187,131,806",42.5%,"$253,014,888",57.5%
13,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%
14,Meg 2: The Trench,"$397,700,317","$82,600,317",20.8%,"$315,100,000",79.2%
15,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%
16,Aquaman and the Lost Kingdom,"$378,934,716","$110,534,716",29.2%,"$268,400,000",70.8%
17,The Hunger Games: The Ballad of Songbirds & Snakes,"$335,912,115","$165,280,945",49.2%,"$170,631,170",50.8%
18,Five Nights at Freddy's,"$289,361,620","$137,275,620",47.4%,"$152,086,000",52.6%
19,Creed III,"$276,148,615","$156,248,615",56.6%,"$119,900,000",43.4%
20,The Flash,"$271,333,313","$108,133,313",39.9%,"$163,200,000",60.1%
21,The Nun II,"$269,467,073","$86,267,073",32%,"$183,200,000",68%
22,Taylor Swift: The Eras Tour,"$261,656,269","$180,756,269",69.1%,"$80,900,000",30.9%
23,Sound of Freedom,"$250,570,396","$184,178,046",73.5%,"$66,392,350",26.5%
24,Wish,"$224,981,332","$63,209,216",28.1%,"$161,772,116",71.9%
25,Napoleon,"$217,067,587","$61,431,495",28.3%,"$155,636,092",71.7%
26,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%
27,The Marvels,"$206,058,984","$84,500,223",41%,"$121,558,761",59%
28,Trolls Band Together,"$204,072,244","$101,534,550",49.8%,"$102,537,694",50.2%
29,PAW Patrol: The Mighty Movie,"$202,231,360","$65,231,360",32.3%,"$137,000,000",67.7%
30,The Equalizer 3,"$191,042,195","$92,373,751",48.4%,"$98,668,444",51.6%
31,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%
32,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.7%,"$61,900,000",34.3%
33,Migration,"$177,116,087","$89,372,435",50.5%,"$87,743,652",49.5%
34,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
35,The Boy and the Heron,"$158,765,415","$42,381,323",26.7%,"$116,384,092",73.3%
36,Killers of the Flower Moon,"$156,370,116","$67,370,116",43.1%,"$89,000,000",56.9%
37,Evil Dead Rise,"$147,033,054","$67,233,054",45.7%,"$79,800,000",54.3%
38,The Exorcist: Believer,"$136,248,437","$65,537,395",48.1%,"$70,711,042",51.9%
39,Shazam! Fury of the Gods,"$134,038,006","$57,638,006",43%,"$76,400,000",57%
40,Blue Beetle,"$130,788,072","$72,488,072",55.4%,"$58,300,000",44.6%
41,Pathaan,"$128,780,000","$17,487,476",13.6%,"$95,095,974",73.8%
42,A Haunting in Venice,"$122,290,456","$42,471,412",34.7%,"$79,819,044",65.3%
43,Gran Turismo,"$121,987,663","$44,428,554",36.4%,"$77,559,109",63.6%
44,Haunted Mansion,"$117,449,790","$67,653,287",57.6%,"$49,796,503",42.4%
45,Saw X,"$111,830,145","$53,607,898",47.9%,"$58,222,247",52.1%
46,Detective Conan: Black Iron Submarine,"$106,770,959",-,-,"$106,770,959",100%
47,The Creator,"$104,272,136","$40,774,679",39.1%,"$63,497,457",60.9%
48,Godzilla Minus One,"$98,229,931","$51,224,461",52.1%,"$47,005,470",47.9%
49,12.12: The Day,"$92,876,289",-,-,"$92,876,289",100%
